token,n,logprob
shopper,6.0,-9.25892416564634
elisabeth,8.0,-8.971242093194558
residential,204.0,-5.732563641030177
solutions,700.0,-4.499603299830989
county,109.0,-6.35933575264525
goldman,9.0,-8.853459057538174
basket,16.0,-8.278094912634613
lawn,23.0,-7.9151894189452445
drawings,21.0,-8.006161197150972
wishes,586.0,-4.677363845297381
busier,17.0,-8.217470290818177
stellar,13.0,-8.485734277412858
roy,34.0,-7.524323110258233
beta,164.0,-5.9508172070501955
architect,24.0,-7.872629804526448
nys,52.0,-7.099439916292966
793,15.0,-8.342633433772184
globalchoice1,9.0,-8.853459057538174
mocevic,6.0,-9.25892416564634
truck,152.0,-6.026803114028118
laguna,6.0,-9.25892416564634
lasted,13.0,-8.485734277412858
rework,16.0,-8.278094912634613
wi,11.0,-8.652788362076024
commitment,196.0,-5.7725689756438765
embroidery,20.0,-8.054951361320402
checklist,20.0,-8.054951361320402
osagha,13.0,-8.485734277412858
recover,29.0,-7.68338780488792
roselin,16.0,-8.278094912634613
creators,15.0,-8.342633433772184
passion,957.0,-4.18688024342144
38,11.0,-8.652788362076024
fabio,21.0,-8.006161197150972
atencion,7.0,-9.10477348581908
0.50,7.0,-9.10477348581908
gonomukhi,10.0,-8.748098541880347
finalize,49.0,-7.158863336763767
patronage,10.0,-8.748098541880347
boredom,6.0,-9.25892416564634
washes,11.0,-8.652788362076024
ingun,9.0,-8.853459057538174
oils,20.0,-8.054951361320402
cameras,23.0,-7.9151894189452445
translation,31.0,-7.616696430389248
courts,12.0,-8.565776985086394
imani,7.0,-9.10477348581908
allowance,7.0,-9.10477348581908
perfection,28.0,-7.71847912469919
prototypes,32.0,-7.584947732074667
envelope,12.0,-8.565776985086394
ofrece,6.0,-9.25892416564634
100s,15.0,-8.342633433772184
drove,13.0,-8.485734277412858
lomas,7.0,-9.10477348581908
ces,10.0,-8.748098541880347
afternoons,80.0,-6.668657000200512
returns,95.0,-6.4968067432738525
brent,17.0,-8.217470290818177
significa,6.0,-9.25892416564634
friendly,241.0,-5.5658867013837385
incredibly,91.0,-6.539824128357544
celebrity,69.0,-6.8165771302771345
niches,39.0,-7.387121988744747
banerji,10.0,-8.748098541880347
permite,6.0,-9.25892416564634
53,14.0,-8.411626305259135
616,11.0,-8.652788362076024
lit,11.0,-8.652788362076024
workshop,115.0,-6.305751506511144
convincing,61.0,-6.939809770701083
multifaceted,13.0,-8.485734277412858
lennonbus.org,7.0,-9.10477348581908
paper,287.0,-5.391201419114773
accessed,18.0,-8.160311876978229
hk,12.0,-8.565776985086394
initiated,15.0,-8.342633433772184
publish,140.0,-6.1090412122650894
sig2,6.0,-9.25892416564634
deanna,12.0,-8.565776985086394
heart,233.0,-5.599645181308693
sexual,16.0,-8.278094912634613
calendars,12.0,-8.565776985086394
fonts,10.0,-8.748098541880347
tommorow,8.0,-8.971242093194558
dismissed,6.0,-9.25892416564634
cultures,19.0,-8.106244655707954
shore,11.0,-8.652788362076024
durable,9.0,-8.853459057538174
frederick,6.0,-9.25892416564634
jess,17.0,-8.217470290818177
abrir,12.0,-8.565776985086394
onboard,13.0,-8.485734277412858
expenditure,11.0,-8.652788362076024
mariusz,7.0,-9.10477348581908
family,1172.0,-3.9842166647374357
creative's,6.0,-9.25892416564634
constantin,28.0,-7.71847912469919
pk,21.0,-8.006161197150972
yt,8.0,-8.971242093194558
jenny,84.0,-6.61986683603108
static,15.0,-8.342633433772184
decades,43.0,-7.289483519180831
equipment’s,9.0,-8.853459057538174
fillers,6.0,-9.25892416564634
oyakhilome,7.0,-9.10477348581908
height,20.0,-8.054951361320402
business.html,13.0,-8.485734277412858
mike,897.0,-4.251627772815597
pinterest.com,6.0,-9.25892416564634
amateur,30.0,-7.649486253212238
año,24.0,-7.872629804526448
functionality,78.0,-6.693974808184802
hillary,9.0,-8.853459057538174
ingeniero,6.0,-9.25892416564634
efforts,459.0,-4.921633424813849
serían,6.0,-9.25892416564634
lateness,12.0,-8.565776985086394
capable,94.0,-6.50738885260439
prioritized,11.0,-8.652788362076024
householders,7.0,-9.10477348581908
sherry,74.0,-6.746618541670224
manages,21.0,-8.006161197150972
bedford,9.0,-8.853459057538174
mentor's,16.0,-8.278094912634613
buses,8.0,-8.971242093194558
coastal,14.0,-8.411626305259135
seguimos,13.0,-8.485734277412858
hemp,6.0,-9.25892416564634
informática,10.0,-8.748098541880347
wednesday,791.0,-4.37738566710674
belated,10.0,-8.748098541880347
longterm,15.0,-8.342633433772184
lindsey,8.0,-8.971242093194558
mia,15.0,-8.342633433772184
lawsuit,10.0,-8.748098541880347
you.long,10.0,-8.748098541880347
417,8.0,-8.971242093194558
conocernos,6.0,-9.25892416564634
semester,29.0,-7.68338780488792
redevelopment,7.0,-9.10477348581908
stack,26.0,-7.792587096852912
meidimi,7.0,-9.10477348581908
weekdays,87.0,-6.58477551621981
batch,97.0,-6.475972656371011
intent,66.0,-6.861028892847968
clunky,8.0,-8.971242093194558
oates,13.0,-8.485734277412858
purchasers,14.0,-8.411626305259135
5.00,7.0,-9.10477348581908
motivational,109.0,-6.35933575264525
transparent,38.0,-7.413097475148008
developing,1299.0,-3.881333618203794
orientated,10.0,-8.748098541880347
errors,42.0,-7.313014016591025
coming,975.0,-4.168246163876547
parents,280.0,-5.415894031705144
moms,26.0,-7.792587096852912
virus,15.0,-8.342633433772184
lett,10.0,-8.748098541880347
innovating,8.0,-8.971242093194558
theirselves,7.0,-9.10477348581908
gofundme,24.0,-7.872629804526448
bs,29.0,-7.68338780488792
politics,21.0,-8.006161197150972
laser,30.0,-7.649486253212238
credit,428.0,-4.991560439292597
explaining,82.0,-6.643964387610141
nova,9.0,-8.853459057538174
church,54.0,-7.06169958831012
rudimentary,8.0,-8.971242093194558
stephen,141.0,-6.101923744496226
ammar,26.0,-7.792587096852912
patenting,20.0,-8.054951361320402
instinct,23.0,-7.9151894189452445
tail,12.0,-8.565776985086394
referals,8.0,-8.971242093194558
result,274.0,-5.437555528486324
visibility,68.0,-6.831175929698287
3x,11.0,-8.652788362076024
2003,23.0,-7.9151894189452445
packet,12.0,-8.565776985086394
condos,22.0,-7.959641181516078
forecasts,23.0,-7.9151894189452445
anand,17.0,-8.217470290818177
involves,83.0,-6.631843027077796
rotating,12.0,-8.565776985086394
blogger.com,7.0,-9.10477348581908
imagining,7.0,-9.10477348581908
359,7.0,-9.10477348581908
lashes,6.0,-9.25892416564634
balachandar,8.0,-8.971242093194558
killing,25.0,-7.831807810006193
pinpoint,16.0,-8.278094912634613
kills,7.0,-9.10477348581908
alivemind.com,25.0,-7.831807810006193
retrieved,8.0,-8.971242093194558
harkinger,24.0,-7.872629804526448
jim,178.0,-5.868900084582308
cafes,10.0,-8.748098541880347
www.impute.me,7.0,-9.10477348581908
kiosk,16.0,-8.278094912634613
canyon,6.0,-9.25892416564634
energized,12.0,-8.565776985086394
proved,29.0,-7.68338780488792
declined,11.0,-8.652788362076024
assessments,12.0,-8.565776985086394
graduating,43.0,-7.289483519180831
boutiques,37.0,-7.439765722230169
jh,18.0,-8.160311876978229
ecourses,10.0,-8.748098541880347
aprendido,7.0,-9.10477348581908
anas,23.0,-7.9151894189452445
cajuste,6.0,-9.25892416564634
phrases,18.0,-8.160311876978229
allotted,7.0,-9.10477348581908
línea,12.0,-8.565776985086394
institute,87.0,-6.58477551621981
unilaterally,9.0,-8.853459057538174
survivors,12.0,-8.565776985086394
reachable,23.0,-7.9151894189452445
competing,103.0,-6.415954646644758
urls,12.0,-8.565776985086394
peruse,23.0,-7.9151894189452445
885,7.0,-9.10477348581908
1k,7.0,-9.10477348581908
kedar,9.0,-8.853459057538174
constantly,183.0,-5.841197482032973
derek,90.0,-6.550873964544129
supplement,74.0,-6.746618541670224
capitalists,23.0,-7.9151894189452445
aesthetically,6.0,-9.25892416564634
necklaces,7.0,-9.10477348581908
tinkering,8.0,-8.971242093194558
imaginary,6.0,-9.25892416564634
deeper,106.0,-6.387244540762326
301,52.0,-7.099439916292966
11.30,11.0,-8.652788362076024
ruined,6.0,-9.25892416564634
repayment,21.0,-8.006161197150972
consiste,9.0,-8.853459057538174
divorced,14.0,-8.411626305259135
katherine,46.0,-7.222042238385299
ceo's,13.0,-8.485734277412858
acknowledge,30.0,-7.649486253212238
mohamed,24.0,-7.872629804526448
obtaining,108.0,-6.368552407750174
rcs,13.0,-8.485734277412858
conception,11.0,-8.652788362076024
notion,13.0,-8.485734277412858
appriciate,6.0,-9.25892416564634
requests,111.0,-6.341153433562059
subcontract,12.0,-8.565776985086394
image.net,9.0,-8.853459057538174
cristóbal,11.0,-8.652788362076024
ard,7.0,-9.10477348581908
vis,10.0,-8.748098541880347
rights,131.0,-6.175486311673242
millennial,33.0,-7.5541760734079135
7pm,164.0,-5.9508172070501955
scenario,65.0,-6.8762963649787565
dashboard,22.0,-7.959641181516078
healthyme,6.0,-9.25892416564634
mentoría,8.0,-8.971242093194558
descriptions,41.0,-7.337111568170086
9th,54.0,-7.06169958831012
submission,9.0,-8.853459057538174
500k,31.0,-7.616696430389248
4332,6.0,-9.25892416564634
ebenstein,8.0,-8.971242093194558
flujo,12.0,-8.565776985086394
1.00,7.0,-9.10477348581908
multifamily,11.0,-8.652788362076024
acknowledgement,7.0,-9.10477348581908
definite,39.0,-7.387121988744747
disastrous,6.0,-9.25892416564634
frustrated,42.0,-7.313014016591025
burn,45.0,-7.244021145104074
cattle,6.0,-9.25892416564634
availably,10.0,-8.748098541880347
samsung,7.0,-9.10477348581908
adobe,10.0,-8.748098541880347
teacher,117.0,-6.288509700076638
openning,6.0,-9.25892416564634
forever,54.0,-7.06169958831012
internationally,131.0,-6.175486311673242
brighter,17.0,-8.217470290818177
transferring,30.0,-7.649486253212238
combining,29.0,-7.68338780488792
harriet,28.0,-7.71847912469919
elis,7.0,-9.10477348581908
archived,10.0,-8.748098541880347
lincoln,10.0,-8.748098541880347
su,130.0,-6.183149184418811
gvdibello,169.0,-5.920784919951321
fires,12.0,-8.565776985086394
cohesive,19.0,-8.106244655707954
cc,51.0,-7.118858002150068
techniques,166.0,-5.9386958465178505
emprendedor,16.0,-8.278094912634613
perceive,28.0,-7.71847912469919
aggravated,8.0,-8.971242093194558
terapista,9.0,-8.853459057538174
web,1728.0,-3.5959636855103927
0546,7.0,-9.10477348581908
curtain,13.0,-8.485734277412858
parte,45.0,-7.244021145104074
fresheners,20.0,-8.054951361320402
2006,24.0,-7.872629804526448
reconstruction,9.0,-8.853459057538174
workplace,36.0,-7.467164696418283
enrollment,14.0,-8.411626305259135
gender,25.0,-7.831807810006193
operationally,12.0,-8.565776985086394
administrators,8.0,-8.971242093194558
fed,34.0,-7.524323110258233
compromised,18.0,-8.160311876978229
rarely,64.0,-6.891800551514722
jerry,23.0,-7.9151894189452445
twin,20.0,-8.054951361320402
homeland,7.0,-9.10477348581908
saturdays,31.0,-7.616696430389248
appreciable,14.0,-8.411626305259135
www.lunchbox,12.0,-8.565776985086394
d.c,10.0,-8.748098541880347
someone's,32.0,-7.584947732074667
differentiates,35.0,-7.49533557338498
10.00,10.0,-8.748098541880347
competition,655.0,-4.566048399239142
frontend,9.0,-8.853459057538174
cv,69.0,-6.8165771302771345
sigo,11.0,-8.652788362076024
cheesecakes,7.0,-9.10477348581908
enquiring,7.0,-9.10477348581908
enjoyment,10.0,-8.748098541880347
sheffie,7.0,-9.10477348581908
averse,8.0,-8.971242093194558
unpaid,11.0,-8.652788362076024
faciliter,6.0,-9.25892416564634
staten,9.0,-8.853459057538174
researchers,27.0,-7.754846768870065
startegy,7.0,-9.10477348581908
themed,16.0,-8.278094912634613
stewardship,10.0,-8.748098541880347
trucks,69.0,-6.8165771302771345
stranded,10.0,-8.748098541880347
budding,50.0,-7.138660629446248
spidycode,12.0,-8.565776985086394
llamada,24.0,-7.872629804526448
breakeven,18.0,-8.160311876978229
thumb,18.0,-8.160311876978229
bureaucracy,14.0,-8.411626305259135
prayerfully,7.0,-9.10477348581908
pregnancy,17.0,-8.217470290818177
laurel,7.0,-9.10477348581908
upgrade,88.0,-6.573346820396187
foreclosures,8.0,-8.971242093194558
45pm,15.0,-8.342633433772184
orleans,11.0,-8.652788362076024
gonna,79.0,-6.681235782407373
financially,244.0,-5.553515409581192
spencer,74.0,-6.746618541670224
animation,33.0,-7.5541760734079135
grounded,9.0,-8.853459057538174
greeting,62.0,-6.9235492498293025
horas,19.0,-8.106244655707954
structures,62.0,-6.9235492498293025
refrigerator,7.0,-9.10477348581908
dominican,8.0,-8.971242093194558
dahyo,27.0,-7.754846768870065
sneaker,7.0,-9.10477348581908
mitesh,10.0,-8.748098541880347
oscar,50.0,-7.138660629446248
setter,6.0,-9.25892416564634
asesoría,13.0,-8.485734277412858
mansfield,11.0,-8.652788362076024
quisiera,20.0,-8.054951361320402
creativo,7.0,-9.10477348581908
genres,21.0,-8.006161197150972
sibabale,25.0,-7.831807810006193
navigated,8.0,-8.971242093194558
traffic,772.0,-4.401699084849618
blow,18.0,-8.160311876978229
mail.i,29.0,-7.68338780488792
daughter,112.0,-6.332184763579299
trae,7.0,-9.10477348581908
pareció,7.0,-9.10477348581908
property.html,9.0,-8.853459057538174
bakers,7.0,-9.10477348581908
scarcity,19.0,-8.106244655707954
socialites,8.0,-8.971242093194558
paballo,7.0,-9.10477348581908
gun,43.0,-7.289483519180831
olga,9.0,-8.853459057538174
chairman,24.0,-7.872629804526448
230,7.0,-9.10477348581908
getter,8.0,-8.971242093194558
resigned,8.0,-8.971242093194558
ordinary,14.0,-8.411626305259135
"400,000",23.0,-7.9151894189452445
diffrent,6.0,-9.25892416564634
keon,12.0,-8.565776985086394
cements,11.0,-8.652788362076024
grunt,6.0,-9.25892416564634
apparent,15.0,-8.342633433772184
index.php,11.0,-8.652788362076024
familia,10.0,-8.748098541880347
effective,710.0,-4.485418664839033
raw,139.0,-6.116209701743702
pursuits,32.0,-7.584947732074667
sells,199.0,-5.757378810149901
suggestions,921.0,-4.225223598619087
merchants,18.0,-8.160311876978229
fola,29.0,-7.68338780488792
1348,9.0,-8.853459057538174
hills,16.0,-8.278094912634613
couching,6.0,-9.25892416564634
www.kaggle.com,6.0,-9.25892416564634
louoates.com,10.0,-8.748098541880347
microfinance,12.0,-8.565776985086394
coschedule.com,6.0,-9.25892416564634
drew,102.0,-6.425710821590123
temperature,11.0,-8.652788362076024
olawale,6.0,-9.25892416564634
josé,11.0,-8.652788362076024
privately,29.0,-7.68338780488792
planners,25.0,-7.831807810006193
raised,132.0,-6.167881712288023
regulated,26.0,-7.792587096852912
disconnected,14.0,-8.411626305259135
annabelle,13.0,-8.485734277412858
chefs,16.0,-8.278094912634613
pronunciation,6.0,-9.25892416564634
azia,8.0,-8.971242093194558
yang,13.0,-8.485734277412858
optimize,73.0,-6.760224193726002
underwriter,6.0,-9.25892416564634
mortati,6.0,-9.25892416564634
spectacular,9.0,-8.853459057538174
simulated,10.0,-8.748098541880347
rakhi,10.0,-8.748098541880347
surrender,9.0,-8.853459057538174
acquiring,105.0,-6.39672328471687
enormous,27.0,-7.754846768870065
premiere,7.0,-9.10477348581908
está,43.0,-7.289483519180831
portions,7.0,-9.10477348581908
baker,6.0,-9.25892416564634
boutique,152.0,-6.026803114028118
deleting,7.0,-9.10477348581908
digest,48.0,-7.179482623966503
generators,10.0,-8.748098541880347
personalized,67.0,-6.845991015483428
explains,49.0,-7.158863336763767
erik,43.0,-7.289483519180831
comienzo,12.0,-8.565776985086394
chores,7.0,-9.10477348581908
commercials,85.0,-6.6080323783840775
morales,15.0,-8.342633433772184
mailings,6.0,-9.25892416564634
retailing,45.0,-7.244021145104074
households,29.0,-7.68338780488792
candidates,95.0,-6.4968067432738525
trabajando,32.0,-7.584947732074667
urgent,57.0,-7.007632367039844
automate,44.0,-7.266494000956133
digging,23.0,-7.9151894189452445
peacewalkway.org,15.0,-8.342633433772184
moss,33.0,-7.5541760734079135
lithuania,38.0,-7.413097475148008
branding,1035.0,-4.108526929174924
predicament,7.0,-9.10477348581908
0519,7.0,-9.10477348581908
ignorant,9.0,-8.853459057538174
blossoming,6.0,-9.25892416564634
focussed,20.0,-8.054951361320402
form,727.0,-4.461757157340874
help.i,7.0,-9.10477348581908
fragrance,7.0,-9.10477348581908
selected,114.0,-6.3144851864798985
education,782.0,-4.388828894329083
pump,13.0,-8.485734277412858
motamedi,6.0,-9.25892416564634
writers,46.0,-7.222042238385299
amigos,11.0,-8.652788362076024
unimportant,6.0,-9.25892416564634
barrera,6.0,-9.25892416564634
revolution,7.0,-9.10477348581908
www.instagram.com,47.0,-7.200536033164335
formally,35.0,-7.49533557338498
creativescorner,6.0,-9.25892416564634
satellite,14.0,-8.411626305259135
mon,139.0,-6.116209701743702
bn,7.0,-9.10477348581908
addressing,84.0,-6.61986683603108
restaurants,198.0,-5.762416604179859
ne,41.0,-7.337111568170086
assosiated,6.0,-9.25892416564634
fax,37.0,-7.439765722230169
setbacks,14.0,-8.411626305259135
formation,60.0,-6.956339072652293
pampering,6.0,-9.25892416564634
optimise,7.0,-9.10477348581908
93,7.0,-9.10477348581908
attitude,95.0,-6.4968067432738525
validated,18.0,-8.160311876978229
hst,9.0,-8.853459057538174
sneakysquad.official,7.0,-9.10477348581908
bmg,6.0,-9.25892416564634
university,501.0,-4.834077533789529
fence,13.0,-8.485734277412858
intuition,40.0,-7.3618041807604575
resitelj.si,9.0,-8.853459057538174
rex,13.0,-8.485734277412858
universe,16.0,-8.278094912634613
bus,45.0,-7.244021145104074
luisa,15.0,-8.342633433772184
transitional,15.0,-8.342633433772184
guía,7.0,-9.10477348581908
micrometer,10.0,-8.748098541880347
896,12.0,-8.565776985086394
flowers,28.0,-7.71847912469919
communities,262.0,-5.482339131113297
tot,6.0,-9.25892416564634
baseball,16.0,-8.278094912634613
hutterer.michael,8.0,-8.971242093194558
inferior,8.0,-8.971242093194558
simplify,24.0,-7.872629804526448
consultants,114.0,-6.3144851864798985
coping,6.0,-9.25892416564634
wonderfully,13.0,-8.485734277412858
venden,6.0,-9.25892416564634
framing,18.0,-8.160311876978229
douglas,18.0,-8.160311876978229
envisioned,11.0,-8.652788362076024
313,31.0,-7.616696430389248
holistic,75.0,-6.733195521338083
spreadsheets,35.0,-7.49533557338498
payday,10.0,-8.748098541880347
sí,20.0,-8.054951361320402
ample,14.0,-8.411626305259135
overcame,19.0,-8.106244655707954
hazard,7.0,-9.10477348581908
www.myshopop.com,6.0,-9.25892416564634
elusive,6.0,-9.25892416564634
adequate,34.0,-7.524323110258233
cow,6.0,-9.25892416564634
diamonds,9.0,-8.853459057538174
facilitators,7.0,-9.10477348581908
10th,46.0,-7.222042238385299
brandy,23.0,-7.9151894189452445
lookout,16.0,-8.278094912634613
california,285.0,-5.398194454605743
cast,29.0,-7.68338780488792
shine,30.0,-7.649486253212238
predictions,6.0,-9.25892416564634
maid,11.0,-8.652788362076024
maximise,7.0,-9.10477348581908
agricultural,92.0,-6.528895057825354
plays,27.0,-7.754846768870065
complicado,8.0,-8.971242093194558
headquartersgroup.com,13.0,-8.485734277412858
psych,11.0,-8.652788362076024
ducks,7.0,-9.10477348581908
boxing,14.0,-8.411626305259135
hablemos,8.0,-8.971242093194558
"2,200,000.00",9.0,-8.853459057538174
vishnu,32.0,-7.584947732074667
